"theta","posterior_density","posterior_mass"
43.4434434434434,2.00970331699246e-09,2.01171503202449e-10
43.5435435435435,2.19129230564298e-09,2.19348579143442e-10
43.6436436436436,2.39111245909607e-09,2.39350596506113e-10
43.7437437437437,2.61118092467477e-09,2.61379471939417e-10
43.8438438438438,2.85375911790494e-09,2.85661573363859e-10
43.943943943944,3.12138490786977e-09,3.12450941728706e-10
44.044044044044,3.4169093937255e-09,3.42032972344895e-10
44.1441441441441,3.7435389782985e-09,3.74728626456307e-10
44.2442442442442,4.10488356122918e-09,4.10899255378297e-10
44.3443443443443,4.50501181126002e-09,4.50952133259262e-10
44.4444444444444,4.94851463886847e-09,4.95346810697545e-10
44.5445445445446,5.44057818117775e-09,5.44602420538314e-10
44.6446446446447,5.98706783654137e-09,5.99306089743882e-10
44.7447447447448,6.59462515314177e-09,6.6012263795213e-10
44.8448448448449,7.27077969251412e-09,7.2780577502644e-10
44.944944944945,8.02407836495086e-09,8.0321104754263e-10
45.045045045045,8.86423518118909e-09,8.87310828947859e-10
45.1451451451452,9.80230489810773e-09,9.81211701512287e-10
45.2452452452453,1.08508846729627e-08,1.08617464193821e-09
45.3453453453454,1.2024348602406e-08,1.20363849873934e-09
45.4454454454455,1.33391209353457e-08,1.33524734087545e-09
45.5455455455456,1.48139948446102e-08,1.48288236682785e-09
45.6456456456457,1.64705049606349e-08,1.64869919525875e-09
45.7457457457458,1.83333634591704e-08,1.83517151743448e-09
45.8458458458459,2.04309714136671e-08,2.04514228365036e-09
45.945945945946,2.27960194446914e-08,2.28188382829744e-09
46.046046046046,2.54661945140055e-08,2.54916862002058e-09
46.1461461461462,2.84850131319173e-08,2.85135266585759e-09
46.2462462462463,3.1902805412575e-08,3.19347401527277e-09
46.3463463463464,3.57778794964818e-08,3.58136931896715e-09
46.4464464464465,4.01779020793125e-08,4.0218120199512e-09
