"year","lambda","y_star"
1986,19.6738955823293,20
1986,17.6176706827309,16
1986,16.3036144578313,14
1986,16.9638554216867,11
1986,23.0506024096386,14
1986,20.3759036144578,21
1986,17.1646586345382,23
1986,14.8722891566265,16
1986,19.1502008032128,20
1986,25.9164658634538,38
1986,20.4465863453815,13
1986,22.7759036144578,13
1986,20.4931726907631,21
1986,16.5493975903614,14
1986,17.9020080321285,17
1986,22.4899598393574,25
1986,20.5397590361446,16
1986,15.8522088353414,19
1986,18.7775100401606,19
1986,18.0819277108434,21
1986,19.0859437751004,18
1986,24.0048192771084,23
1986,17.8939759036145,24
1986,16.3100401606426,13
1986,20.0738955823293,14
1986,18.3710843373494,23
1986,20.4899598393574,14
1986,18.4176706827309,16
1986,15.9100401606426,24
1986,22.3293172690763,30
1986,20.1767068273092,22
1986,19.0441767068273,20
1986,18.2746987951807,34
1986,21.2995983935743,24
1986,21.1132530120482,18
1986,24.1927710843373,29
1986,22.8160642570281,23
1986,17.9598393574297,17
1986,16.8610441767068,28
1986,22.5461847389558,19
1986,14,16
1986,22.510843373494,18
1986,17.7124497991968,18
1986,17.0971887550201,15
1986,17.6819277108434,17
1986,21.3269076305221,17
1986,20.859437751004,19
1986,15.5244979919679,13
1986,19.3767068273092,18
1986,22.2409638554217,21
1986,17.829718875502,10
1986,20.0674698795181,22
1986,13.1807228915663,16
1986,21.0409638554217,19
1986,13.9180722891566,11
1986,20.6136546184739,16
1986,17.004016064257,16
1986,22.6104417670683,20
1986,19.0955823293173,22
1986,21.3012048192771,30
1986,22.8048192771084,22
1986,20.1670682730924,17
1986,21.8538152610442,16
1986,22.8160642570281,20
1986,20.8578313253012,19
1986,18.8224899598394,25
1986,22.2907630522088,22
1986,20.9044176706827,18
1986,14.7100401606426,9
1986,19.6417670682731,13
1986,21.8746987951807,19
1986,16.110843373494,13
1986,16.4867469879518,13
1986,17.7638554216867,14
1986,21.5261044176707,17
1986,20.5172690763052,21
1986,14.8016064257028,12
1986,16.8112449799197,14
1986,22.8449799196787,28
1986,14.6409638554217,14
1986,19.2658634538153,19
1986,18.6056224899598,20
1986,15.6080321285141,10
1986,16.9381526104418,11
1986,16.655421686747,18
1986,16.5461847389558,15
1986,26.5269076305221,31
1986,16.7678714859438,18
1986,13.4907630522088,11
1986,21.0923694779116,23
1986,24.4369477911647,21
1986,15.4682730923695,13
1986,22.3726907630522,20
1986,22.2763052208835,15
1986,16.9060240963855,13
1986,12.7502008032128,9
1986,14.0562248995984,18
1986,22.1044176706827,22
1986,19.2803212851406,16
1986,21.2289156626506,32
1986,16.9012048192771,18
1986,26.8787148594378,36
1986,19.5502008032128,28
1986,19.8425702811245,19
1986,18.34859437751,9
1986,18.5156626506024,19
1986,14.833734939759,12
1986,18.2457831325301,18
1986,18.0530120481928,13
1986,16.3534136546185,20
1986,21.1871485943775,35
1986,18.9815261044177,22
1986,15.8987951807229,10
1986,17.3718875502008,15
1986,20.4064257028112,34
1986,22.4305220883534,20
1986,13.6433734939759,18
1986,16.8321285140562,17
1986,17.3991967871486,15
1986,19.3429718875502,17
1986,18.3598393574297,18
1986,18.3855421686747,27
1986,18.3919678714859,15
1986,23.429718875502,29
1986,18.714859437751,20
1986,25.404016064257,23
1986,17.6658634538153,12
1986,20.2377510040161,18
1986,18.4401606425703,17
1986,22.7502008032129,22
1986,19.0361445783133,17
1986,16.1397590361446,17
1986,17.7895582329317,24
1986,17.2497991967872,21
1986,16.1124497991968,14
1986,18.3935742971888,21
1986,15.8088353413655,15
1986,18.6859437751004,29
1986,17.9871485943775,21
1986,17.0666666666667,12
1986,16.8273092369478,21
1986,17.9855421686747,19
1986,23.233734939759,26
1986,19.5919678714859,26
1986,23.0666666666667,23
1986,21.5502008032129,27
1986,26.1510040160643,17
1986,19.8441767068273,16
1986,18.6522088353414,18
1986,20.1991967871486,18
1986,18.9012048192771,20
1986,19.2787148594377,22
1986,21.914859437751,28
1986,23.2787148594378,23
1986,21.4602409638554,23
1986,16.8144578313253,19
1986,22.9943775100402,31
1986,14.1060240963855,11
1986,20.9734939759036,17
1986,20.1718875502008,18
1986,18.9317269076305,14
1986,23.429718875502,27
1986,16.5927710843374,15
1986,21.0072289156627,22
1986,19.3253012048193,22
1986,25.395983935743,37
1986,14.3534136546185,17
1986,19.0441767068273,22
1986,22.7614457831325,21
1986,19.8907630522088,22
1986,18.3341365461847,25
1986,16.7839357429719,14
1986,15.3751004016064,18
1986,17.2112449799197,23
1986,21.1341365461847,22
1986,19.8313253012048,17
1986,14.9879518072289,14
1986,16.5847389558233,10
