"alpha0","beta","posterior_mass"
45.5020080321285,-2,1.95298868552893e-29
45.6626506024096,-2,9.25064185997841e-30
45.8232931726908,-2,4.36796817182901e-30
45.9839357429719,-2,2.05604507354794e-30
46.144578313253,-2,9.64809037913477e-31
46.3052208835341,-2,4.51352181569756e-31
46.4658634538153,-2,2.10506230504269e-31
46.6265060240964,-2,9.78811931880026e-32
46.7871485943775,-2,4.53761877265765e-32
46.9477911646586,-2,2.09730050349342e-32
47.1084337349398,-2,9.66510485473827e-33
47.2690763052209,-2,4.44094075615377e-33
47.429718875502,-2,2.03458124178053e-33
47.5903614457831,-2,9.29428073924954e-34
47.7510040160643,-2,4.23356448707828e-34
47.9116465863454,-2,1.92289277454764e-34
48.0722891566265,-2,8.70905850243836e-35
48.2329317269076,-2,3.93335607988494e-35
48.3935742971888,-2,1.7714944960235e-35
48.5542168674699,-2,7.95626642698644e-36
48.714859437751,-2,3.56352808144953e-36
48.8755020080321,-2,1.59169815436799e-36
49.0361445783133,-2,7.09021025375404e-37
49.1967871485944,-2,3.14980391214055e-37
49.3574297188755,-2,1.39553897119876e-37
49.5180722891566,-2,6.16655240915027e-38
49.6787148594378,-2,2.71764528062644e-38
49.8393574297189,-2,1.19454026960253e-38
50,-2,5.23689924583142e-39
10,-1.98955823293173,5.36577768746817e-89
10.1606425702811,-1.98955823293173,3.09140059144144e-74
10.3212851405622,-1.98955823293173,1.33830691997699e-67
10.4819277108434,-1.98955823293173,5.56775042241992e-63
10.6425702811245,-1.98955823293173,2.52129963565926e-59
10.8032128514056,-1.98955823293173,3.0196017006196e-56
10.9638554216867,-1.98955823293173,1.46749553654965e-53
11.1244979919679,-1.98955823293173,3.68273005123395e-51
11.285140562249,-1.98955823293173,5.54501814460827e-49
11.4457831325301,-1.98955823293173,5.53817215315719e-47
11.6064257028112,-1.98955823293173,3.9383631253956e-45
11.7670682730924,-1.98955823293173,2.10073236905495e-43
11.9277108433735,-1.98955823293173,8.74438462733297e-42
12.0883534136546,-1.98955823293173,2.92972252155769e-40
